label,finalScore,finalCash,buildingsPlaced,tilesUsed,serviceShare,housingShare,commercialShare,cashReserve,housingSizeBias,industryAppetite,damPolicy,drainagePolicy,olympicsIntent,slumUpgrades,expansionTiming,twistOrder,treasureTile,treasureHit,preparedFlood,pandemicMet,olympicsQualified,industryPowerShare,industryWaterShare
random,2339,87.3,121,121,0.523,0.122,0.333,0.021,medium,none,after-flood,none,opportunistic,2,late,pandemic|immigration|flood,7,9,true,true,false,true,0.000,0.000
random,1300,108.5,87,87,0.406,0.147,0.232,0.215,large,none,after-flood,partial,ignore,1,year0,flood|immigration|pandemic,8,1,true,true,false,false,0.000,0.000
random,-616,151.5,118,118,0.380,0.330,0.171,0.119,medium,medium,never,full,committed,0,year0,immigration|pandemic|flood,4,8,true,true,false,true,0.000,0.000
random,1147,274.0,143,143,0.252,0.132,0.352,0.265,small,none,after-flood,partial,opportunistic,3,year0,pandemic|immigration|flood,1,2,true,true,false,true,0.000,0.000
random,1402,143.8,112,112,0.434,0.097,0.246,0.223,large,medium,early,partial,opportunistic,2,spread,pandemic|flood|immigration,10,4,true,true,false,true,0.000,0.083
random,1386,23.3,94,94,0.423,0.120,0.353,0.104,medium,medium,after-flood,partial,ignore,0,year0,flood|immigration|pandemic,6,9,false,true,false,false,0.000,0.000
random,578,76.5,87,87,0.402,0.146,0.067,0.385,large,none,early,partial,ignore,0,spread,immigration|pandemic|flood,4,4,true,true,false,false,0.000,0.000
random,1327,241.0,100,100,0.312,0.221,0.217,0.251,small,none,never,none,opportunistic,3,late,immigration|pandemic|flood,6,9,false,false,true,true,0.000,0.000
random,786,47.8,93,93,0.472,0.143,0.381,0.004,medium,none,never,none,committed,2,spread,immigration|flood|pandemic,10,1,false,false,false,true,0.000,0.000
random,-900,250.0,72,72,0.364,0.333,0.108,0.194,small,medium,after-flood,none,committed,0,year0,flood|immigration|pandemic,5,6,false,true,false,false,0.000,0.000
random,2191,696.3,108,108,0.477,0.045,0.246,0.232,mixed,none,early,partial,ignore,2,year0,flood|pandemic|immigration,9,7,false,true,false,true,0.000,0.000
random,720,11.3,101,101,0.352,0.380,0.214,0.054,large,large,after-flood,partial,ignore,1,late,pandemic|immigration|flood,2,2,true,true,false,false,0.000,0.000
random,1327,11.3,81,81,0.804,0.188,0.004,0.004,large,small,after-flood,full,committed,3,spread,flood|pandemic|immigration,5,6,true,true,false,false,0.000,0.000
random,1041,237.5,78,78,0.290,0.344,0.023,0.343,small,medium,never,none,opportunistic,1,late,flood|pandemic|immigration,10,4,false,false,false,false,0.000,0.000
random,2424,788.5,91,91,0.578,0.076,0.213,0.133,small,medium,early,none,opportunistic,4,late,flood|immigration|pandemic,7,13,true,true,true,true,0.000,0.222
random,2010,1204.0,49,49,0.724,0.003,0.036,0.237,large,none,after-flood,none,opportunistic,3,year0,pandemic|flood|immigration,0,0,true,true,true,false,0.000,0.000
random,568,162.5,86,86,0.428,0.158,0.365,0.049,large,large,early,none,committed,0,year0,immigration|flood|pandemic,5,14,false,true,false,true,0.000,0.192
random,-331,284.5,111,111,0.292,0.298,0.203,0.208,mixed,medium,after-flood,partial,opportunistic,0,year0,pandemic|flood|immigration,2,1,true,true,false,true,0.000,0.102
random,1335,109.3,131,131,0.301,0.263,0.305,0.131,large,large,after-flood,full,committed,2,late,pandemic|flood|immigration,6,1,false,true,false,true,0.000,0.000
random,1874,80.8,92,92,0.495,0.106,0.290,0.109,small,small,after-flood,none,ignore,0,spread,pandemic|immigration|flood,5,13,false,true,false,false,0.000,0.000
random,1083,60.5,95,95,0.190,0.039,0.466,0.305,medium,small,never,full,ignore,3,late,immigration|flood|pandemic,2,14,false,true,false,false,0.000,0.083
random,1467,129.3,70,70,0.501,0.157,0.110,0.231,mixed,medium,early,none,committed,4,spread,flood|immigration|pandemic,0,5,true,true,false,false,0.000,0.000
random,908,4.8,89,89,0.486,0.242,0.264,0.008,mixed,none,never,partial,ignore,4,spread,immigration|flood|pandemic,10,13,false,true,false,false,0.000,0.000
random,599,7.3,100,100,0.484,0.336,0.103,0.077,small,medium,never,full,opportunistic,3,year0,flood|immigration|pandemic,6,5,false,true,false,false,0.000,0.000
random,633,0.8,103,103,0.376,0.304,0.256,0.065,small,large,early,full,ignore,1,spread,flood|immigration|pandemic,1,1,false,true,false,false,0.000,0.057
random,-270,125.5,96,96,0.288,0.297,0.305,0.110,medium,medium,early,partial,ignore,3,year0,immigration|pandemic|flood,5,3,true,true,false,false,0.000,0.000
random,2091,26.8,110,110,0.487,0.198,0.120,0.195,mixed,large,early,partial,ignore,2,late,immigration|flood|pandemic,11,8,false,true,false,false,0.000,0.000
random,-2021,204.3,74,74,0.235,0.249,0.285,0.231,medium,none,after-flood,none,opportunistic,4,spread,immigration|pandemic|flood,11,12,false,true,false,true,0.000,0.000
random,-527,263.3,89,89,0.285,0.272,0.275,0.168,medium,medium,after-flood,partial,committed,4,year0,flood|pandemic|immigration,2,9,true,true,false,true,0.000,0.000
random,2182,52.0,102,102,0.822,0.024,0.015,0.139,small,large,early,full,ignore,3,year0,flood|immigration|pandemic,7,6,true,true,false,false,0.000,0.000
